temperature 	 <E> 	 <E^2> 	 <m> 	 <m^2> 	 <m^4>
3.75	                     -0.605351	                      0.412683	                      0.225159	                      0.0772902	                      0.0158598	 
3.8	                     -0.594096	                      0.398433	                      0.221926	                      0.0750773	                      0.0149682	 
3.85	                     -0.586656	                      0.389671	                      0.218703	                      0.0730665	                      0.0142793	 
3.9	                     -0.575504	                      0.375417	                      0.214948	                      0.0703669	                      0.0131686	 
3.95	                     -0.564641	                      0.363159	                      0.211852	                      0.0686942	                      0.0127209	 
4	                     -0.558749	                      0.355279	                      0.208237	                      0.0664695	                      0.0118957	 
4.05	                       -0.5508	                      0.346219	                      0.205444	                      0.0646892	                      0.0112992	 
4.1	                     -0.544637	                      0.339293	                      0.204131	                      0.0638872	                      0.0110648	 
4.15	                     -0.533045	                       0.32681	                      0.200869	                      0.0620072	                      0.0105148	 
4.2	                     -0.527116	                      0.320105	                      0.197986	                      0.0602888	                     0.00991709	 
4.25	                     -0.520491	                      0.312272	                      0.194737	                       0.058246	                     0.00930004	 
4.3	                     -0.511366	                      0.303362	                      0.193118	                      0.0577438	                     0.00924153	 
4.35	                     -0.505726	                      0.296962	                       0.19088	                      0.0562714	                     0.00877182	 
4.4	                     -0.494876	                      0.285582	                      0.188611	                      0.0547858	                     0.00826791	 
4.45	                     -0.491337	                      0.281916	                      0.186302	                      0.0536428	                     0.00798574	 
4.5	                     -0.481666	                      0.272121	                      0.184484	                      0.0524563	                     0.00763234	 
4.55	                     -0.478559	                      0.268788	                      0.183473	                      0.0517974	                     0.00740827	 
4.6	                     -0.470199	                      0.260866	                      0.180625	                      0.0505348	                     0.00717505	 
4.65	                     -0.468212	                      0.258501	                      0.180698	                      0.0504932	                     0.00710256	 
4.7	                     -0.458611	                      0.249623	                      0.177871	                      0.0489705	                      0.0067217	 
4.75	                     -0.452363	                      0.243573	                      0.175613	                      0.0477615	                     0.00641768	 
4.8	                      -0.45064	                      0.241865	                      0.174608	                      0.0473442	                     0.00626511	 
4.85	                     -0.444105	                       0.23597	                      0.174437	                      0.0471741	                     0.00627506	 
4.9	                     -0.438726	                      0.230637	                      0.172593	                      0.0461355	                     0.00597675	 
4.95	                     -0.432067	                      0.225911	                      0.170644	                      0.0454184	                     0.00587106	 
5	                      -0.43057	                      0.222902	                      0.170156	                      0.0449539	                     0.00569973	 
